Feature\Product;0;1;2;3;
ENABLE_FEATURE_XARGS_SUPPORT_TERMOPT;-;X;-;-;
ENABLE_XARGS;-;X;-;-;
ENABLE_MKFS_EXT2;-;X;-;-;
ENABLE_PLATFORM_LINUX;-;X;-;-;
ENABLE_LONG_OPTS;-;X;-;-;
ENABLE_FEATURE_TAR_LONG_OPTIONS;-;X;-;-;
ENABLE_DEVFSD_MODLOAD;-;X;-;-;
ENABLE_DEVFSD;-;X;-;-;
ENABLE_FEATURE_HTTPD_CGI;-;X;-;-;
ENABLE_HTTPD;-;X;-;-;
ENABLE_FEATURE_AR_LONG_FILENAMES;-;X;-;-;
ENABLE_AR;X;X;X;X;
ENABLE_FEATURE_HTTPD_GZIP;-;X;-;-;
ENABLE_FEATURE_TELNETD_INETD_WAIT;-;X;-;-;
ENABLE_FEATURE_TELNETD_STANDALONE;-;X;-;-;
ENABLE_FEATURE_IFCONFIG_BROADCAST_PLUS;-;X;-;-;
ENABLE_IFCONFIG;-;X;-;-;
ENABLE_HUSH_INTERACTIVE;-;X;-;-;
ENABLE_HUSH;-;X;-;-;
ENABLE_DEVFSD_VERBOSE;-;X;-;-;
ENABLE_FEATURE_IPCALC_FANCY;-;X;-;-;
ENABLE_IPCALC;-;X;-;-;
ENABLE_FEATURE_BUFFERS_USE_MALLOC;X;-;-;X;
ENABLE_FEATURE_BUFFERS_GO_ON_STACK;-;-;X;-;
ENABLE_FEATURE_CHAT_VAR_ABORT_LEN;-;X;-;-;
ENABLE_CHAT;-;X;-;-;
ENABLE_FEATURE_FTPGETPUT_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_FDISK_WRITABLE;-;X;-;-;
ENABLE_FEATURE_FDISK_ADVANCED;-;X;-;-;
ENABLE_FEATURE_2_4_MODULES;-;-;X;-;
ENABLE_FEATURE_INSMOD_VERSION_CHECKING;-;-;X;-;
ENABLE_SELINUX;-;X;-;-;
ENABLE_MORE;-;X;-;-;
ENABLE_TELNET;-;X;-;-;
ENABLE_LS;-;X;-;-;
ENABLE_FEATURE_AUTOWIDTH;-;X;-;-;
ENABLE_FEATURE_BUFFERS_GO_IN_BSS;-;X;-;-;
ENABLE_SWITCH_ROOT;-;X;-;-;
ENABLE_FEATURE_INSMOD_KSYMOOPS_SYMBOLS;-;-;X;-;
ENABLE_PIVOT_ROOT;-;X;-;-;
ENABLE_FEATURE_FBSET_FANCY;-;X;-;-;
ENABLE_FBSET;-;X;-;-;
ENABLE_FEATURE_PS_UNUSUAL_SYSTEMS;-;X;-;-;
ENABLE_FEATURE_PS_TIME;-;X;-;-;
ENABLE_FEATURE_UNEXPAND_LONG_OPTIONS;-;X;-;-;
ENABLE_NO_DEBUG_LIB;X;-;-;X;
ENABLE_EFENCE;-;-;X;-;
ENABLE_FEATURE_SORT_BIG;-;X;-;-;
ENABLE_SORT;-;X;-;-;
ENABLE_MATCHPATHCON;-;X;-;-;
ENABLE_FEATURE_HDPARM_HDIO_TRISTATE_HWIF;-;X;-;-;
ENABLE_HDPARM;-;X;-;-;
ENABLE_MKFS_REISER;-;X;-;-;
ENABLE_KBD_MODE;-;X;-;-;
ENABLE_ASH_BUILTIN_ECHO;-;X;-;-;
ENABLE_ASH;-;X;-;-;
ENABLE_FEATURE_IP_SHORT_FORMS;-;X;-;-;
ENABLE_IP;-;X;-;-;
ENABLE_FEATURE_RUNSVDIR_LOG;-;X;-;-;
ENABLE_RUNSVDIR;-;X;-;-;
ENABLE_ARPING;-;X;-;-;
ENABLE_UNICODE_WIDE_WCHARS;-;X;-;-;
ENABLE_UNICODE_SUPPORT;-;X;X;-;
ENABLE_FEATURE_SH_IS_ASH;X;-;-;X;
ENABLE_NOMMU;-;-;X;-;
ENABLE_INSTALL_APPLET_HARDLINKS;X;-;-;-;
ENABLE_INSTALL_APPLET_SCRIPT_WRAPPERS;-;-;X;-;
ENABLE_HUSH_JOB;-;X;-;-;
ENABLE_FDFLUSH;-;X;-;-;
ENABLE_FEATURE_FLOAT_SLEEP;-;X;-;-;
ENABLE_FEATURE_FANCY_SLEEP;-;X;-;-;
ENABLE_FEATURE_LESS_DASHCMD;-;X;-;-;
ENABLE_LESS;-;X;-;-;
ENABLE_SETLOGCONS;-;X;-;-;
ENABLE_FEATURE_MODPROBE_BLACKLIST;-;-;X;-;
ENABLE_MODPROBE;-;-;X;-;
ENABLE_FEATURE_UDHCPD_WRITE_LEASES_EARLY;-;X;-;-;
ENABLE_UDHCPD;-;X;-;-;
ENABLE_FEATURE_HDPARM_HDIO_GETSET_DMA;-;X;-;-;
ENABLE_DUMPLEASES;-;X;-;-;
ENABLE_FEATURE_DIFF_LONG_OPTIONS;-;X;-;-;
ENABLE_FDISK;-;X;-;-;
ENABLE_FEATURE_AIX_LABEL;-;X;-;-;
ENABLE_STATIC;-;-;-;X;
ENABLE_BUILD_LIBBUSYBOX;-;-;X;-;
ENABLE_INSMOD;-;-;X;-;
ENABLE_MODPROBE_SMALL;-;X;-;-;
ENABLE_FEATURE_INSMOD_TRY_MMAP;-;X;-;-;
ENABLE_FEATURE_MOUNT_LABEL;-;X;-;-;
ENABLE_MOUNT;-;X;-;-;
ENABLE_FEATURE_DMESG_PRETTY;-;X;-;-;
ENABLE_DMESG;-;X;-;-;
ENABLE_FEATURE_WGET_LONG_OPTIONS;-;X;-;-;
ENABLE_FEATURE_AR_CREATE;-;X;-;-;
